,Team,SOS,Rank,Opp Record,Opp Win Percent
193,Saint Bonaventure,0.4809,194,1219-1313,0.4815
194,Akron,0.4809,195,1340-1462,0.4783
195,Central Arkansas,0.4809,196,1443-1555,0.4814
196,UMass,0.4804,197,1271-1376,0.4802
197,Stetson,0.48,198,1453-1581,0.479
198,Tarleton State,0.479,199,1543-1679,0.4789
199,Bucknell,0.4788,200,1038-1130,0.4789
200,Sacramento State,0.4785,201,1437-1571,0.4777
201,Northern Illinois,0.4782,202,1325-1453,0.477
202,Southern Illinois,0.477,203,1449-1648,0.468
203,Kent State,0.4769,204,1292-1423,0.4759
204,Lamar,0.4766,205,1413-1629,0.4645
205,George Washington,0.4766,206,1367-1482,0.4798
206,Bellarmine,0.4763,207,1402-1528,0.4785
207,California Baptist,0.4759,208,1521-1695,0.473
208,Eastern Kentucky,0.4757,209,1451-1604,0.475
209,Presbyterian College,0.4748,210,1346-1499,0.4731
210,Abilene Christian,0.474,211,1427-1614,0.4693
211,Youngstown State,0.4738,212,1410-1571,0.473
212,Central Michigan,0.4737,213,1268-1419,0.472
213,Purdue Fort Wayne,0.4735,214,1355-1500,0.4746
214,Columbia,0.4734,215,962-1031,0.4827
215,Longwood,0.4732,216,1265-1431,0.4692
216,Ohio,0.4729,217,1222-1366,0.4722
217,Southern Indiana,0.4728,218,1476-1605,0.4791
218,Davidson,0.472,219,1250-1383,0.4748
219,Bowling Green,0.4712,220,1285-1462,0.4678
220,Ball State,0.471,221,1403-1621,0.464
221,New Mexico,0.4707,222,1221-1415,0.4632
222,Little Rock,0.4702,223,1406-1573,0.472
223,UMass-Lowell,0.4701,224,1308-1415,0.4804
224,Western Michigan,0.4701,225,1234-1426,0.464
225,Seattle University,0.47,226,1271-1475,0.4629
226,UMBC,0.4695,227,1198-1297,0.4802
227,Holy Cross,0.4693,228,1115-1276,0.4664
228,Toledo,0.4688,229,1401-1605,0.4662
229,Maine,0.468,230,1109-1230,0.4742
230,Dayton,0.4678,231,1295-1507,0.4622
231,North Alabama,0.4672,232,1356-1555,0.4658
232,Rider,0.4669,233,1214-1351,0.4734
233,Navy,0.4667,234,1074-1265,0.4593
234,North Florida,0.4662,235,1235-1464,0.4576
235,Cornell,0.4662,236,777-876,0.4701
236,SIUE,0.4658,237,1355-1504,0.474
237,San Francisco,0.4647,238,1271-1506,0.4577
238,Nevada,0.4643,239,1162-1405,0.4527
239,Wright State,0.4642,240,1306-1563,0.4552
240,Milwaukee,0.464,241,1256-1453,0.4637
241,Northern Colorado,0.4638,242,1224-1379,0.4704
242,Saint Louis,0.4631,243,1215-1458,0.4546
243,Wagner,0.4631,244,1298-1446,0.4731
244,Lindenwood,0.463,245,1283-1473,0.4657
245,Brown,0.4629,246,828-910,0.4764
246,Florida A&M,0.4628,247,1293-1367,0.4861
247,Penn,0.4624,248,953-1080,0.4688
248,Harvard,0.4623,249,806-936,0.4627
249,Iona,0.4617,250,1181-1331,0.4702
250,UTRGV,0.4614,251,1300-1550,0.4561
251,Stephen F. Austin,0.461,252,1298-1542,0.457
252,Eastern Michigan,0.4608,253,1236-1466,0.4575
253,North Dakota State,0.4604,254,1127-1295,0.4655
254,Fresno State,0.4588,255,1282-1627,0.4407
255,Albany,0.4571,256,1147-1331,0.4629
256,Fairfield,0.4568,257,1324-1583,0.4555
257,Eastern Illinois,0.4564,258,1220-1489,0.4505
258,Binghamton,0.4563,259,1088-1342,0.4478
259,Marist,0.4562,260,1250-1493,0.4558
260,Quinnipiac,0.4543,261,1158-1371,0.4579
261,Stonehill,0.4541,262,1087-1246,0.466
262,Saint Thomas,0.4536,263,1013-1194,0.4594
263,Bryant,0.453,264,1174-1426,0.4516
264,Canisius,0.4529,265,1104-1340,0.4518
265,Tennessee-Martin,0.4529,266,1310-1595,0.451
266,Sacred Heart,0.4506,267,1315-1539,0.4608
267,UNLV,0.4506,268,1141-1491,0.4336
268,Northern Kentucky,0.4486,269,1211-1578,0.4342
269,Austin Peay,0.4475,270,1270-1670,0.432
270,Siena,0.4471,271,1134-1432,0.4421
271,Bethune-Cookman,0.4454,272,1260-1520,0.4533
272,Lehigh,0.4443,273,971-1281,0.4312
273,Grambling State,0.4438,274,1087-1281,0.459
274,Dartmouth,0.4429,275,744-959,0.437
275,Delaware State,0.4426,276,1086-1325,0.4505
276,Oakland,0.4424,277,1226-1628,0.4296
277,NJIT,0.442,278,1122-1507,0.4269
278,Morehead State,0.4415,279,1328-1811,0.4232
279,Tennessee Tech,0.4411,280,1243-1646,0.4303
280,Oral Roberts,0.4393,281,1185-1584,0.4284
281,Maryland Eastern Shore,0.4393,282,1079-1341,0.446
282,Mount Saint Mary's,0.4387,283,1221-1594,0.4337
283,Fairleigh Dickinson,0.4386,284,1226-1563,0.4396
284,Merrimack,0.4386,285,1269-1600,0.4424
285,Texas Southern,0.4385,286,983-1206,0.4491
286,Yale,0.438,287,787-1045,0.4297
287,Niagara,0.4366,288,1102-1521,0.4203
288,South Dakota State,0.4357,289,971-1309,0.4267
289,Central Connecticut,0.4338,290,928-1193,0.4376
290,Alabama A&M,0.4335,291,1037-1280,0.4476
291,Long Island,0.4319,292,1177-1583,0.4266
292,Omaha,0.4254,293,974-1415,0.4086
293,Le Moyne,0.4235,294,1018-1397,0.4215
294,Mississippi Valley State,0.4207,295,784-1051,0.4272
295,Alabama State,0.4199,296,1090-1526,0.4167
296,Manhattan,0.4185,297,1021-1573,0.3939
297,Coppin State,0.418,298,928-1320,0.413
298,Southern,0.4167,299,935-1261,0.4258
299,Norfolk State,0.4167,300,1080-1543,0.4119
300,Prairie View A&M,0.4147,301,979-1385,0.4141
301,Alcorn State,0.4096,302,893-1265,0.4138
302,Saint Peter's,0.4073,303,993-1553,0.3903
303,Jackson State,0.4065,304,978-1387,0.4135
304,Arkansas-Pine Bluff,0.3771,305,708-1247,0.3623
